record_id,print_edition,size,frame,sold,distributor,action,decision,reason
recF33sombhKQ6rAk,Etchells - 50,Small,Mounted,checked,Framers,KEEP,KEEP_FIRST,"Different sizes (Unknown, Small), keeping first entry"
recFWaTAHzC150whs,Etchells - 50,Unknown,,checked,Direct,SKIP,KEEP_FIRST,"Different sizes (Unknown, Small), keeping first entry"
reca3ga3KX8m6nFLE,Etchells - 92,,,,,KEEP,KEEP_FIRST,"Exact duplicates, keeping first entry"
recceUrQE6AugHKD2,Etchells - 92,,,,,SKIP,KEEP_FIRST,"Exact duplicates, keeping first entry"
reccJSl1C6zaSPlrZ,Hurst - 55,Large,Framed,checked,KENDALLS,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recNUaG6fRph53Mv5,Hurst - 55,Small,Mounted,checked,Yarmouth Gallery,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
rec3ECuFEqDNy6rhJ,Hurst - 67,Small,Framed,checked,Yarmouth Gallery,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recmgOJnMUdBG3BEa,Hurst - 67,Large,Framed,checked,Perera,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
rec5LnwWzr1C2yyWF,Hurst - 73,Small,Framed,checked,Direct,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recnC3wE3R6iUdkpa,Hurst - 73,Large,Framed,checked,Direct,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recVXptEpHnmNDzDz,Hurst - 135,Large,Mounted,checked,Perera,KEEP,KEEP_SOLD,Only one marked as sold
recN7aIEK0UROyQ9K,Hurst - 135,Large,Mounted,,Perera,SKIP,KEEP_SOLD,Only one marked as sold
recQ93NE32DKDj27b,Lifeboat Station - 71,Large,Mounted,checked,Direct,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
reconaaHzzKiNt0xi,Lifeboat Station - 71,Small,Framed,checked,Direct,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recRZ6HqJTPUuMhop,Lifeboat Station - 84,Large,Framed,checked,Seaview Gallery,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recwTydnpw53F47Gu,Lifeboat Station - 84,Small,Framed,checked,KENDALLS,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
reckpQgZZxuFNfR3G,Lifeboat Station - 85,Large,Framed,checked,KENDALLS,KEEP,KEEP_LATEST_SALE,"Multiple distributors, keeping latest sale"
reckS91Lddql1svlO,Lifeboat Station - 85,Large,Framed,checked,Seaview Gallery,SKIP,KEEP_LATEST_SALE,"Multiple distributors, keeping latest sale"
recVtOudRFrkWPDHc,Lifeboat Station - 93,Small,Framed,checked,Bramble and Berry,KEEP,KEEP_SOLD,"Exact duplicates, keeping sold version"
rec2N1QCUWJAndnqP,Lifeboat Station - 93,Small,Framed,checked,Bramble and Berry,SKIP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recoC8i82kiBQUqDY,Lifeboat Station - 119,Large,Framed,checked,Seaview Gallery,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recTTJS6HtWPD4Gdn,Lifeboat Station - 119,Small,Mounted,checked,Bramble and Berry,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recXkumXLGRf3Z0Wb,Lifeboat Station - 130,Large,Framed,checked,Bramble and Berry,KEEP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
rec7x6kFl7Uz03bwF,Lifeboat Station - 130,Large,Mounted,checked,Direct,SKIP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
recuSUztwENZvfFTT,Lifeboat Station - 132,Small,Framed,checked,Bramble and Berry,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recy3FsmCoE7cvOyN,Lifeboat Station - 132,Large,Mounted,checked,Direct,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recR49SraJ7pjY4JP,Lymington - 6,Large,Framed,checked,Perera,SKIP,KEEP_LATEST_SALE,"Multiple distributors, keeping latest sale"
recqmBewXEFCpNuap,Lymington - 6,Large,Framed,checked,Yarmouth Gallery,KEEP,KEEP_LATEST_SALE,"Multiple distributors, keeping latest sale"
recgNAWKi9j3xfBUf,Lymington - 41,Large,Framed,checked,Perera,KEEP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
recEItHHkcbiDU2YW,Lymington - 41,Large,Mounted,checked,Perera,SKIP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
